"GEO_ID","id",
"B08526_057E","Estimate!!Total!!Public transportation (excluding taxicab)!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_057M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_058E","Estimate!!Total!!Public transportation (excluding taxicab)!!Other services (except public administration)",
"B08526_058M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Other services (except public administration)",
"B08526_059E","Estimate!!Total!!Public transportation (excluding taxicab)!!Public administration",
"B08526_059M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Public administration",
"B08526_060E","Estimate!!Total!!Public transportation (excluding taxicab)!!Armed forces",
"B08526_060M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Armed forces",
"B08526_061E","Estimate!!Total!!Walked",
"B08526_061M","Margin of Error!!Total!!Walked",
"B08526_062E","Estimate!!Total!!Walked!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_062M","Margin of Error!!Total!!Walked!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_063E","Estimate!!Total!!Walked!!Construction",
"B08526_063M","Margin of Error!!Total!!Walked!!Construction",
"B08526_064E","Estimate!!Total!!Walked!!Manufacturing",
"B08526_064M","Margin of Error!!Total!!Walked!!Manufacturing",
"B08526_065E","Estimate!!Total!!Walked!!Wholesale trade",
"B08526_065M","Margin of Error!!Total!!Walked!!Wholesale trade",
"B08526_066E","Estimate!!Total!!Walked!!Retail trade",
"B08526_066M","Margin of Error!!Total!!Walked!!Retail trade",
"B08526_067E","Estimate!!Total!!Walked!!Transportation and warehousing, and utilities",
"B08526_067M","Margin of Error!!Total!!Walked!!Transportation and warehousing, and utilities",
"B08526_068E","Estimate!!Total!!Walked!!Information",
"B08526_068M","Margin of Error!!Total!!Walked!!Information",
"B08526_069E","Estimate!!Total!!Walked!!Finance and insurance, and real estate and rental and leasing",
"B08526_069M","Margin of Error!!Total!!Walked!!Finance and insurance, and real estate and rental and leasing",
"B08526_070E","Estimate!!Total!!Walked!!Professional, scientific, and management, and administrative and waste management services",
"B08526_070M","Margin of Error!!Total!!Walked!!Professional, scientific, and management, and administrative and waste management services",
"B08526_071E","Estimate!!Total!!Walked!!Educational services, and health care and social assistance",
"B08526_071M","Margin of Error!!Total!!Walked!!Educational services, and health care and social assistance",
"B08526_072E","Estimate!!Total!!Walked!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_072M","Margin of Error!!Total!!Walked!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_073E","Estimate!!Total!!Walked!!Other services (except public administration)",
"B08526_073M","Margin of Error!!Total!!Walked!!Other services (except public administration)",
"B08526_074E","Estimate!!Total!!Walked!!Public administration",
"B08526_074M","Margin of Error!!Total!!Walked!!Public administration",
"B08526_075E","Estimate!!Total!!Walked!!Armed forces",
"B08526_075M","Margin of Error!!Total!!Walked!!Armed forces",
"B08526_076E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means",
"B08526_076M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means",
"B08526_077E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_077M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_078E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Construction",
"B08526_078M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Construction",
"B08526_079E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Manufacturing",
"B08526_079M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Manufacturing",
"B08526_080E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Wholesale trade",
"B08526_080M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Wholesale trade",
"B08526_081E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Retail trade",
"B08526_081M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Retail trade",
"B08526_082E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Transportation and warehousing, and utilities",
"B08526_082M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Transportation and warehousing, and utilities",
"B08526_083E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Information",
"B08526_083M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Information",
"B08526_084E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Finance and insurance, and real estate and rental and leasing",
"B08526_084M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Finance and insurance, and real estate and rental and leasing",
"B08526_085E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Professional, scientific, and management, and administrative and waste management services",
"B08526_085M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Professional, scientific, and management, and administrative and waste management services",
"B08526_086E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Educational services, and health care and social assistance",
"B08526_086M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Educational services, and health care and social assistance",
"B08526_087E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_087M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_088E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Other services (except public administration)",
"B08526_088M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Other services (except public administration)",
"B08526_089E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Public administration",
"B08526_089M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Public administration",
"B08526_090E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Armed forces",
"B08526_090M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Armed forces",
"B08526_091E","Estimate!!Total!!Worked at home",
"B08526_091M","Margin of Error!!Total!!Worked at home",
"B08526_092E","Estimate!!Total!!Worked at home!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_092M","Margin of Error!!Total!!Worked at home!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_093E","Estimate!!Total!!Worked at home!!Construction",
"B08526_093M","Margin of Error!!Total!!Worked at home!!Construction",
"B08526_094E","Estimate!!Total!!Worked at home!!Manufacturing",
"B08526_094M","Margin of Error!!Total!!Worked at home!!Manufacturing",
"B08526_095E","Estimate!!Total!!Worked at home!!Wholesale trade",
