"GEO_ID","NAME","B19001A_001E","B19001A_001M","B19001A_002E","B19001A_002M","B19001A_003E","B19001A_003M","B19001A_004E","B19001A_004M","B19001A_005E","B19001A_005M","B19001A_006E","B19001A_006M","B19001A_007E","B19001A_007M","B19001A_008E","B19001A_008M","B19001A_009E","B19001A_009M","B19001A_010E","B19001A_010M","B19001A_011E","B19001A_011M","B19001A_012E","B19001A_012M","B19001A_013E","B19001A_013M","B19001A_014E","B19001A_014M","B19001A_015E","B19001A_015M","B19001A_016E","B19001A_016M","B19001A_017E","B19001A_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36083","Rensselaer County, New York","57712","563","2398","336","2153","348","1927","258","2404","377","2630","344","2402","348","2092","302","2406","297","2358","311","4455","507","6089","521","8430","546","6130","404","4394","431","4196","422","3248","360"
"0500000US36027","Dutchess County, New York","89472","809","3250","406","3468","467","2637","325","3025","378","3007","313","2984","342","2969","336","2688","301","2927","374","6132","560","8279","540","12330","665","10604","598","7186","562","9074","564","8912","482"
"0500000US36043","Herkimer County, New York","24073","419","1264","234","1297","226","1451","256","1270","178","1486","202","1299","197","1133","139","1312","199","1072","193","2072","238","2776","265","3341","308","2035","212","954","150","851","151","460","100"
"0500000US36089","St. Lawrence County, New York","40582","457","2456","361","2922","357","2715","338","2416","311","2201","245","2257","315","1958","223","2062","223","1506","191","3498","268","3995","306","5296","373","3315","296","1637","202","1340","209","1008","151"
"0500000US36113","Warren County, New York","26743","426","1167","211","1245","173","1239","210","1220","219","1314","207","1246","208","1160","212","1304","206","1143","181","2280","285","2844","226","3738","341","2811","324","1636","216","1340","190","1056","161"
"0500000US36055","Monroe County, New York","240610","1101","11167","700","9394","672","10114","660","10301","629","10953","648","11093","729","10325","691","10942","682","9169","595","18793","883","24950","869","32478","1077","25498","964","15448","717","16250","657","13735","605"
"0500000US36111","Ulster County, New York","62833","851","2860","353","3343","386","2895","395","2543","316","2789","308","2615","325","2589","333","2452","376","2171","282","4558","433","6837","508","8060","556","6269","490","4305","431","4540","373","4007","333"
"0500000US36051","Livingston County, New York","23470","382","1147","243","1174","223","1305","227","1175","194","943","197","1112","203","1227","238","1163","224","1093","247","1968","258","2646","290","3265","298","2550","228","1123","155","1039","161","540","128"
"0500000US36039","Greene County, New York","16487","479","974","203","1152","263","870","196","821","179","1026","180","866","164","710","154","758","154","640","176","1391","263","1546","242","2310","301","1424","224","729","150","760","144","510","103"
"0500000US36003","Allegany County, New York","17656","330","1154","170","1088","157","1122","133","1164","154","838","96","974","126","938","145","1153","139","1039","148","1436","142","1992","176","2230","175","1264","136","637","103","372","77","255","57"
"0500000US36009","Cattaraugus County, New York","29665","360","1686","207","2080","270","1807","193","1937","184","1677","188","1750","186","1537","181","1565","165","1290","152","2658","247","3066","222","3789","233","2215","189","1264","160","801","142","543","114"
"0500000US36093","Schenectady County, New York","43824","928","1633","252","2019","314","1767","295","1848","284","1704","267","1709","238","1608","204","1857","254","1689","211","3207","368","4697","359","6299","467","5185","397","3011","278","3205","318","2386","283"
"0500000US36123","Yates County, New York","8882","269","485","106","402","101","572","151","474","130","433","96","539","139","434","91","384","91","438","81","669","103","857","123","1187","132","848","139","388","94","472","126","300","85"
