testdate,county,newpositives,cumulativepositives,newtests,cumulativetests
2020-05-26,Oneida County,12,929,488,14798
2020-05-26,Onondaga County,21,2033,676,32941
2020-05-26,Ontario County,3,198,182,5488
2020-05-26,Orange County,15,10292,528,45264
2020-05-26,Orleans County,2,210,44,1995
2020-05-26,Oswego County,1,105,337,5050
2020-05-26,Otsego County,0,69,243,3206
2020-05-26,Putnam County,5,1227,125,8064
2020-05-26,Queens County,165,61125,4201,230166
2020-05-26,Rensselaer County,0,466,150,8754
2020-05-26,Richmond County,23,13348,720,54487
2020-05-26,Rockland County,28,13047,554,48951
2020-05-26,Saratoga County,2,465,285,11463
2020-05-26,Schenectady County,5,673,243,10492
2020-05-26,Schoharie County,0,49,46,1299
2020-05-26,Schuyler County,0,11,68,1280
2020-05-26,Seneca County,0,55,50,1748
2020-05-26,St. Lawrence County,3,200,78,8044
2020-05-26,Steuben County,1,241,221,5126
2020-05-26,Suffolk County,59,39258,2492,163435
2020-05-26,Sullivan County,2,1340,77,7256
2020-05-26,Tioga County,2,124,195,2683
2020-05-26,Tompkins County,1,155,264,9209
2020-05-26,Ulster County,7,1645,355,16878
2020-05-26,Warren County,1,252,111,4190
2020-05-26,Washington County,0,228,107,2873
2020-05-26,Wayne County,0,110,339,4334
2020-05-26,Westchester County,79,33186,2207,145385
2020-05-26,Wyoming County,0,82,42,2051
2020-05-26,Yates County,2,39,28,1050
2020-05-25,Albany County,2,1793,328,22032
2020-05-25,Allegany County,0,44,28,1466
2020-05-25,Bronx County,117,44364,2233,165092
2020-05-25,Broome County,3,522,536,12464
2020-05-25,Cattaraugus County,0,81,136,3698
2020-05-25,Cayuga County,1,78,76,3331
2020-05-25,Chautauqua County,2,77,94,3528
2020-05-25,Chemung County,0,136,96,5275
2020-05-25,Chenango County,4,123,221,3262
2020-05-25,Clinton County,0,95,108,2773
2020-05-25,Columbia County,1,373,145,3633
2020-05-25,Cortland County,0,39,64,3195
2020-05-25,Delaware County,0,77,22,2093
2020-05-25,Dutchess County,9,3834,301,27234
2020-05-25,Erie County,53,5753,1334,51843
2020-05-25,Essex County,0,36,68,2214
2020-05-25,Franklin County,0,20,219,2651
2020-05-25,Fulton County,0,196,44,2527
2020-05-25,Genesee County,1,193,58,3233
2020-05-25,Greene County,0,225,24,2379
2020-05-25,Hamilton County,0,5,5,411
2020-05-25,Herkimer County,0,103,45,2691
2020-05-25,Jefferson County,0,72,71,4962
2020-05-25,Kings County,200,54560,5214,231086
2020-05-25,Lewis County,1,20,25,1771
2020-05-25,Livingston County,3,118,74,3132
2020-05-25,Madison County,0,303,179,3562
