id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36027,"Dutchess County, New York",107347,4288,4595,3318,3744,4199,3874,3798,3423,3517,7271,9630,14471,12201,8283,10440,10295,B19001,TBD
0500000US36043,"Herkimer County, New York",24583,1351,1336,1544,1276,1507,1361,1133,1326,1097,2088,2800,3411,2035,977,863,478,B19001,TBD
0500000US36089,"St. Lawrence County, New York",41669,2613,2995,2786,2470,2239,2327,1991,2087,1563,3610,4073,5480,3368,1662,1370,1035,B19001,TBD
0500000US36113,"Warren County, New York",27553,1241,1298,1307,1277,1338,1303,1204,1323,1180,2338,2901,3809,2864,1663,1369,1138,B19001,TBD
0500000US36055,"Monroe County, New York",300796,19837,15813,14538,14703,14560,14759,13350,13790,11754,22558,30002,36956,28213,16827,17786,15350,B19001,TBD
0500000US36111,"Ulster County, New York",69539,3459,3748,3248,3136,3220,3123,3007,2666,2469,5082,7410,8659,6556,4532,4826,4398,B19001,TBD
0500000US36051,"Livingston County, New York",24383,1300,1300,1347,1205,961,1179,1289,1191,1102,2081,2679,3392,2568,1142,1089,558,B19001,TBD
0500000US36039,"Greene County, New York",17117,1032,1193,900,821,1026,870,745,764,662,1448,1680,2415,1488,756,793,524,B19001,TBD
0500000US36003,"Allegany County, New York",18009,1202,1109,1139,1189,846,1026,951,1175,1045,1456,2044,2264,1273,648,379,263,B19001,TBD
0500000US36009,"Cattaraugus County, New York",31433,1941,2233,2007,2036,1770,1904,1605,1648,1333,2784,3183,3952,2306,1299,840,592,B19001,TBD
0500000US36093,"Schenectady County, New York",53295,2687,2811,2453,2389,2335,2342,2060,2319,1968,3864,5377,7403,5789,3300,3613,2585,B19001,TBD
0500000US36123,"Yates County, New York",9029,495,421,579,477,435,546,444,388,475,678,869,1214,848,388,472,300,B19001,TBD
