"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36065","Oneida County, New York","90014","845","5779","474","5431","493","4721","434","4946","380","4822","449","4743","443","4361","361","3793","338","3363","311","7710","461","9655","542","11767","587","7135","570","4631","401","4114","356","3043","317"
"0500000US36103","Suffolk County, New York","487981","2141","16865","908","12132","765","13192","900","13582","821","13273","829","14208","929","12584","831","13813","770","13466","843","27261","1090","39571","1278","61792","1593","55602","1500","44073","1119","62648","1752","73919","1586"
"0500000US36121","Wyoming County, New York","15815","213","726","117","747","131","749","137","860","161","737","124","720","128","713","129","787","133","686","144","1528","182","1923","170","2574","208","1506","163","752","126","530","111","277","80"
"0500000US36015","Chemung County, New York","34373","489","2582","347","1823","225","1743","241","1783","238","1871","278","1872","259","1446","221","1474","244","1577","210","2813","350","3827","299","4412","366","2934","347","1894","294","1229","236","1093","179"
"0500000US36075","Oswego County, New York","46032","557","3159","341","2357","275","2313","282","2051","256","2389","342","2327","237","2303","309","2453","322","2198","303","3854","377","4845","358","6052","384","4010","321","2639","276","1752","228","1330","201"
"0500000US36077","Otsego County, New York","23556","448","1621","234","1223","195","1156","162","1271","186","1255","180","1213","164","1089","164","1224","186","1016","127","2131","206","2632","257","2828","255","2084","187","1099","143","1031","150","683","116"
"0500000US36117","Wayne County, New York","36504","476","1638","214","1825","271","1456","197","1684","250","2007","293","2098","246","2145","252","1701","189","1456","194","3445","308","4287","374","5085","377","3118","281","1967","211","1589","193","1003","142"
"0500000US36001","Albany County, New York","126008","701","6903","546","5675","515","5346","592","5846","458","4792","513","5813","581","4978","460","5559","630","4747","434","9257","616","11982","599","16316","762","12123","630","8489","541","9349","560","8833","490"
"0500000US36007","Broome County, New York","78594","749","5984","513","5000","446","4571","458","4255","386","4345","397","3927","380","3726","355","3474","329","3487","327","6486","490","7802","498","9773","621","6249","471","3968","390","3222","273","2325","267"
"0500000US36029","Erie County, New York","387847","1686","27586","1054","22626","1096","19156","986","20117","956","18635","933","18955","806","16601","743","17286","768","14399","727","29791","1017","37790","1218","48461","1479","34921","1090","22487","930","22083","875","16953","873"
