"GEO_ID","NAME","B08522_001E","B08522_001M","B08522_002E","B08522_002M","B08522_003E","B08522_003M","B08522_004E","B08522_004M","B08522_005E","B08522_005M","B08522_006E","B08522_006M","B08522_007E","B08522_007M","B08522_008E","B08522_008M","B08522_009E","B08522_009M","B08522_010E","B08522_010M","B08522_011E","B08522_011M","B08522_012E","B08522_012M","B08522_013E","B08522_013M","B08522_014E","B08522_014M","B08522_015E","B08522_015M","B08522_016E","B08522_016M","B08522_017E","B08522_017M","B08522_018E","B08522_018M","B08522_019E","B08522_019M","B08522_020E","B08522_020M","B08522_021E","B08522_021M","B08522_022E","B08522_022M","B08522_023E","B08522_023M","B08522_024E","B08522_024M","B08522_025E","B08522_025M","B08522_026E","B08522_026M","B08522_027E","B08522_027M","B08522_028E","B08522_028M"
"0500000US36119","Westchester County, New York","443092","4193","21261","1088","22201","1178","399630","4012","304154","3206","7843","567","10156","899","286155","3224","39100","1548","2436","358","2599","442","34065","1561","45804","1879","5821","564","5082","554","34901","1638","21502","1419","3129","583","2642","456","15731","1084","7357","650","697","220","888","326","5772","577","25175","1070","1335","227","834","317","23006","949"
"0500000US36025","Delaware County, New York","19791","730","1520","265","1039","206","17232","736","15213","739","923","213","615","147","13675","730","1647","286","107","60","156","73","1384","270","137","73","12","19","11","12","114","69","1152","244","261","117","154","77","737","196","341","121","51","31","22","19","268","112","1301","240","166","69","81","54","1054","232"
"0500000US36031","Essex County, New York","16671","671","922","219","1035","200","14714","697","12914","650","559","136","689","156","11666","660","1728","298","97","52","176","98","1455","256","158","74","37","37","8","13","113","65","485","140","63","86","28","31","394","121","347","125","78","83","32","27","237","86","1039","208","88","62","102","70","849","158"
"0500000US36057","Montgomery County, New York","19461","768","1892","244","1288","273","16281","737","14931","667","874","194","739","188","13318","676","1981","315","382","157","172","98","1427","228","102","46","22","22","17","16","63","39","1022","227","348","111","78","52","596","171","545","143","108","57","97","62","340","105","880","192","158","68","185","110","537","123"
"0500000US36059","Nassau County, New York","574472","5174","20836","1388","21088","1416","532548","4885","438639","4958","10747","937","11312","986","416580","4587","46642","1531","2694","419","3388","522","40560","1421","39144","1617","4363","587","3959","505","30822","1355","15712","932","1683","348","1247","239","12782","829","7342","656","431","124","441","151","6470","647","26993","1260","918","214","741","198","25334","1268"
"0500000US36085","Richmond County, New York","129802","2557","6573","562","6546","747","116683","2557","87607","2023","2641","361","3171","550","81795","1951","10736","922","488","143","741","261","9507","789","19757","1287","2559","389","1988","388","15210","1150","4814","478","494","177","380","157","3940","405","1608","319","118","60","83","77","1407","313","5280","522","273","104","183","92","4824","480"
"0500000US36097","Schuyler County, New York","6209","501","361","98","374","101","5474","462","4463","366","219","57","291","93","3953","330","813","231","22","19","11","11","780","234","142","92","36","54","1","2","105","78","225","72","44","32","21","21","160","59","63","32","0","18","4","8","59","32","503","149","40","37","46","34","417","140"
"0500000US36109","Tompkins County, New York","56834","1062","5182","497","2830","378","48822","1093","39078","1199","2354","346","1741","309","34983","1084","6176","539","495","148","366","111","5315","491","3219","349","593","177","219","104","2407","326","4737","499","1406","298","317","187","3014","392","1166","250","204","111","84","60","878","215","2458","266","130","60","103","51","2225","275"
"0500000US36017","Chenango County, New York","19145","680","1145","187","1348","240","16652","695","14468","591","745","135","889","201","12834","593","2406","288","179","85","316","111","1911","253","83","47","25","31","0","24","58","34","941","161","106","61","125","61","710","129","201","76","21","18","4","5","176","76","1046","230","69","59","14","11","963","228"
"0500000US36023","Cortland County, New York","21263","691","1862","293","1061","195","18340","655","16925","707","1392","263","766","196","14767","629","2341","310","75","43","167","70","2099","299","126","71","44","52","4","6","78","47","900","180","251","111","84","49","565","128","216","82","29","26","20","20","167","74","755","152","71","46","20","17","664","136"
"0500000US36045","Jefferson County, New York","52522","987","3412","407","4173","515","44937","1175","43560","987","2357","354","2962","407","38241","1103","4988","545","389","145","675","200","3924","469","243","134","29","34","32","31","182","117","1140","219","209","88","250","105","681","148","876","232","241","134","140","98","495","169","1715","264","187","84","114","63","1414","243"
"0500000US36065","Oneida County, New York","106447","1350","6910","572","6481","592","93056","1452","88793","1374","4457","488","4766","496","79570","1515","8523","625","918","200","673","170","6932","512","1159","212","240","92","206","71","713","199","2856","368","744","196","375","164","1737","259","794","163","169","83","52","37","573","148","4322","484","382","149","409","200","3531","374"
"0500000US36103","Suffolk County, New York","639472","4731","20283","1373","21242","1342","597947","4645","533796","4776","14091","1041","15732","1013","503973","4639","50357","2044","2393","374","2190","390","45774","1962","11225","825","1024","240","1118","276","9083","795","8616","773","1011","311","700","259","6905","731","8406","854","755","227","479","166","7172","760","27072","1409","1009","276","1023","265","25040","1352"
"0500000US36121","Wyoming County, New York","14974","593","763","147","858","163","13353","590","12036","513","493","105","646","123","10897","506","1366","208","74","40","102","64","1190","189","56","28","17","17","24","20","15","14","751","173","118","71","35","27","598","159","152","71","21","18","30","45","101","47","613","193","40","25","21","17","552","189"
"0500000US36015","Chemung County, New York","37294","871","2544","377","2282","311","32468","769","31137","748","1592","274","1472","244","28073","705","3520","428","456","152","429","145","2635","353","635","170","162","104","122","62","351","140","936","193","127","63","212","99","597","153","319","103","114","72","12","14","193","74","747","137","93","61","35","27","619","124"
"0500000US36075","Oswego County, New York","36238","1088","3330","343","1827","258","31081","1102","29549","1043","2002","230","1365","228","26182","1007","2898","342","493","181","195","70","2210","278","389","149","127","85","41","40","221","113","1410","231","408","120","114","69","888","186","438","120","132","77","33","27","273","100","1554","230","168","87","79","58","1307","221"
"0500000US36077","Otsego County, New York","27440","820","2341","293","1899","254","23200","791","20869","788","1461","264","1248","170","18160","725","2785","330","302","94","244","100","2239","283","381","98","65","42","76","45","240","76","1555","239","272","138","142","63","1141","184","582","173","89","57","81","65","412","143","1268","216","152","94","108","69","1008","159"
"0500000US36117","Wayne County, New York","30194","1059","1609","302","1952","300","26633","1019","24683","978","944","198","1463","281","22276","976","2406","320","280","118","185","103","1941","270","304","143","81","90","71","67","152","80","775","167","83","48","139","75","553","146","477","196","20","20","44","39","413","204","1549","270","201","162","50","33","1298","243"
"0500000US36001","Albany County, New York","221668","2809","10437","734","7900","646","203331","2762","177246","2750","5754","478","4974","511","166518","2815","18408","1140","1271","285","979","326","16158","1033","11914","762","2070","398","1063","269","8781","761","6575","702","870","282","572","210","5133","645","2531","374","331","194","124","102","2076","305","4994","533","141","69","188","118","4665","521"
"0500000US36007","Broome County, New York","89958","1405","6999","657","5358","509","77601","1422","73957","1340","4349","468","3848","423","65760","1382","7404","617","571","160","431","122","6402","596","2793","486","1164","330","353","135","1276","283","2669","377","672","174","470","148","1527","252","635","167","75","48","77","58","483","153","2500","308","168","74","179","98","2153","269"
